,years,LandAverageTemperature,LandAverageTemperatureUncertainty,Uncertainity_Top,Uncertainity_Bottom
101,1851,8.178583333,0.881916667,9.0605,7.296666667
102,1852,8.100166667,0.91825,9.018416667,7.181916667
103,1853,8.041833333,0.835,8.876833333,7.206833333
104,1854,8.2105,0.825666667,9.036166667,7.384833333
105,1855,8.11075,0.887166667,8.997916667,7.223583333
106,1856,7.995916667,0.76075,8.756666667,7.235166667
107,1857,7.758166667,0.751083333,8.50925,7.007083333
108,1858,8.10025,0.69975,8.8,7.4005
109,1859,8.252,0.674666667,8.926666667,7.577333333
110,1860,7.960833333,0.626,8.586833333,7.334833333
111,1861,7.8465,0.653416667,8.499916667,7.193083333
112,1862,7.558583333,0.688916667,8.2475,6.869666667
113,1863,8.111833333,0.748,8.859833333,7.363833333
114,1864,7.983583333,0.676416667,8.66,7.307166667
115,1865,8.177833333,0.662166667,8.84,7.515666667
116,1866,8.292166667,0.606,8.898166667,7.686166667
117,1867,8.436333333,0.634833333,9.071166667,7.8015
118,1868,8.247916667,0.546333333,8.79425,7.701583333
119,1869,8.432083333,0.595666667,9.02775,7.836416667
120,1870,8.201333333,0.550166667,8.7515,7.651166667
121,1871,8.115083333,0.57025,8.685333333,7.544833333
122,1872,8.193833333,0.589083333,8.782916667,7.60475
123,1873,8.351083333,0.5505,8.901583333,7.800583333
124,1874,8.4335,0.517916667,8.951416667,7.915583333
125,1875,7.859583333,0.4515,8.311083333,7.408083333
126,1876,8.080083333,0.4335,8.513583333,7.646583333
127,1877,8.539583333,0.455916667,8.9955,8.083666667
128,1878,8.82975,0.424916667,9.254666667,8.404833333
129,1879,8.165833333,0.463416667,8.62925,7.702416667
130,1880,8.11875,0.414916667,8.533666667,7.703833333
131,1881,8.270916667,0.419333333,8.69025,7.851583333
132,1882,8.128916667,0.379916667,8.508833333,7.749
133,1883,7.976916667,0.370666667,8.347583333,7.60625
134,1884,7.773666667,0.39625,8.169916667,7.377416667
135,1885,7.919666667,0.425,8.344666667,7.494666667
136,1886,7.9545,0.386,8.3405,7.5685
137,1887,7.914916667,0.392083333,8.307,7.522833333
138,1888,8.0905,0.382416667,8.472916667,7.708083333
139,1889,8.319,0.369833333,8.688833333,7.949166667
140,1890,7.971666667,0.343,8.314666667,7.628666667
141,1891,8.019333333,0.335333333,8.354666667,7.684
142,1892,8.065833333,0.338833333,8.404666667,7.727
143,1893,8.05675,0.34525,8.402,7.7115
144,1894,8.161,0.31725,8.47825,7.84375
145,1895,8.147,0.29925,8.44625,7.84775
146,1896,8.214916667,0.308833333,8.52375,7.906083333
147,1897,8.293333333,0.313833333,8.607166667,7.9795
148,1898,8.178,0.325666667,8.503666667,7.852333333
149,1899,8.396333333,0.32475,8.721083333,8.071583333
150,1900,8.501583333,0.31475,8.816333333,8.186833333
151,1901,8.541916667,0.30625,8.848166667,8.235666667
152,1902,8.304416667,0.29275,8.597166667,8.011666667
153,1903,8.220166667,0.29,8.510166667,7.930166667
154,1904,8.090916667,0.286416667,8.377333333,7.8045
155,1905,8.225166667,0.27875,8.503916667,7.946416667
156,1906,8.379083333,0.274916667,8.654,8.104166667
157,1907,7.947166667,0.257166667,8.204333333,7.69
158,1908,8.186083333,0.27475,8.460833333,7.911333333
159,1909,8.17825,0.26275,8.441,7.9155
160,1910,8.223,0.260083333,8.483083333,7.962916667
161,1911,8.177,0.247833333,8.424833333,7.929166667
162,1912,8.165416667,0.258416667,8.423833333,7.907
163,1913,8.29775,0.26225,8.56,8.0355
164,1914,8.5905,0.251916667,8.842416667,8.338583333
165,1915,8.593166667,0.246166667,8.839333333,8.347
166,1916,8.22525,0.260416667,8.485666667,7.964833333
167,1917,8.023333333,0.260666667,8.284,7.762666667
168,1918,8.130833333,0.26825,8.399083333,7.862583333
169,1919,8.38225,0.26675,8.649,8.1155
170,1920,8.35875,0.262666667,8.621416667,8.096083333
171,1921,8.571,0.256833333,8.827833333,8.314166667
172,1922,8.408,0.258583333,8.666583333,8.149416667
173,1923,8.422166667,0.253083333,8.67525,8.169083333
174,1924,8.506833333,0.256833333,8.763666667,8.25
175,1925,8.534416667,0.24075,8.775166667,8.293666667
176,1926,8.728833333,0.242666667,8.9715,8.486166667
177,1927,8.522083333,0.248916667,8.771,8.273166667
178,1928,8.632166667,0.248583333,8.88075,8.383583333
179,1929,8.242416667,0.25175,8.494166667,7.990666667
180,1930,8.633583333,0.239666667,8.87325,8.393916667
181,1931,8.71925,0.23775,8.957,8.4815
182,1932,8.70525,0.248916667,8.954166667,8.456333333
183,1933,8.33825,0.242666667,8.580916667,8.095583333
184,1934,8.628333333,0.240083333,8.868416667,8.38825
185,1935,8.51575,0.235916667,8.751666667,8.279833333
186,1936,8.554,0.243083333,8.797083333,8.310916667
187,1937,8.698333333,0.240083333,8.938416667,8.45825
188,1938,8.863666667,0.2405,9.104166667,8.623166667
189,1939,8.760333333,0.237333333,8.997666667,8.523
190,1940,8.764666667,0.231083333,8.99575,8.533583333
191,1941,8.768666667,0.227833333,8.9965,8.540833333
192,1942,8.728416667,0.2295,8.957916667,8.498916667
193,1943,8.755083333,0.226583333,8.981666667,8.5285
194,1944,8.845,0.225166667,9.070166667,8.619833333
195,1945,8.584833333,0.220333333,8.805166667,8.3645
196,1946,8.676916667,0.222416667,8.899333333,8.4545
197,1947,8.797083333,0.217083333,9.014166667,8.58
198,1948,8.74675,0.209583333,8.956333333,8.537166667
199,1949,8.58675,0.20825,8.795,8.3785
200,1950,8.36525,0.186333333,8.551583333,8.178916667
201,1951,8.625666667,0.184166667,8.809833333,8.4415
202,1952,8.63825,0.20875,8.847,8.4295
203,1953,8.87375,0.212083333,9.085833333,8.661666667
204,1954,8.560666667,0.187166667,8.747833333,8.3735
205,1955,8.62625,0.153583333,8.779833333,8.472666667
206,1956,8.279583333,0.120833333,8.400416667,8.15875
207,1957,8.7325,0.158,8.8905,8.5745
208,1958,8.77375,0.104333333,8.878083333,8.669416667
209,1959,8.732666667,0.107166667,8.839833333,8.6255
210,1960,8.58375,0.0935,8.67725,8.49025
211,1961,8.797666667,0.097,8.894666667,8.700666667
212,1962,8.745916667,0.132916667,8.878833333,8.613
213,1963,8.856,0.092333333,8.948333333,8.763666667
214,1964,8.409666667,0.0925,8.502166667,8.317166667
215,1965,8.527416667,0.108833333,8.63625,8.418583333
216,1966,8.599333333,0.09225,8.691583333,8.507083333
217,1967,8.700083333,0.083666667,8.78375,8.616416667
218,1968,8.516333333,0.111666667,8.628,8.404666667
219,1969,8.595083333,0.085166667,8.68025,8.509916667
220,1970,8.700916667,0.075583333,8.7765,8.625333333
221,1971,8.59925,0.097916667,8.697166667,8.501333333
222,1972,8.499583333,0.095333333,8.594916667,8.40425
223,1973,8.94825,0.10075,9.049,8.8475
224,1974,8.4675,0.1045,8.572,8.363
225,1975,8.744833333,0.097083333,8.841916667,8.64775
226,1976,8.34725,0.100583333,8.447833333,8.246666667
227,1977,8.85025,0.084666667,8.934916667,8.765583333
228,1978,8.69275,0.103833333,8.796583333,8.588916667
229,1979,8.733416667,0.086416667,8.819833333,8.647
230,1980,8.980333333,0.106666667,9.087,8.873666667
231,1981,9.165833333,0.08725,9.253083333,9.078583333
232,1982,8.639166667,0.082666667,8.721833333,8.5565
233,1983,9.028166667,0.094,9.122166667,8.934166667
234,1984,8.691833333,0.102583333,8.794416667,8.58925
235,1985,8.658,0.09325,8.75125,8.56475
236,1986,8.833583333,0.085,8.918583333,8.748583333
237,1987,8.994416667,0.085166667,9.079583333,8.90925
238,1988,9.201583333,0.080083333,9.281666667,9.1215
239,1989,8.922,0.088,9.01,8.834
240,1990,9.234166667,0.086333333,9.3205,9.147833333
241,1991,9.179416667,0.062083333,9.2415,9.117333333
242,1992,8.836583333,0.083333333,8.919916667,8.75325
243,1993,8.866583333,0.081333333,8.947916667,8.78525
244,1994,9.03875,0.070916667,9.109666667,8.967833333
245,1995,9.347083333,0.076416667,9.4235,9.270666667
246,1996,9.038916667,0.08475,9.123666667,8.954166667
247,1997,9.202583333,0.088583333,9.291166667,9.114
248,1998,9.522666667,0.073916667,9.596583333,9.44875
249,1999,9.285083333,0.07925,9.364333333,9.205833333
250,2000,9.201166667,0.0835,9.284666667,9.117666667
251,2001,9.414583333,0.087416667,9.502,9.327166667
252,2002,9.570416667,0.072416667,9.642833333,9.498
253,2003,9.525583333,0.090666667,9.61625,9.434916667
254,2004,9.324583333,0.083416667,9.408,9.241166667
255,2005,9.700916667,0.075166667,9.776083333,9.62575
256,2006,9.5325,0.09,9.6225,9.4425
257,2007,9.732166667,0.0895,9.821666667,9.642666667
258,2008,9.43175,0.078916667,9.510666667,9.352833333
259,2009,9.50525,0.085916667,9.591166667,9.419333333
260,2010,9.703083333,0.083416667,9.7865,9.619666667
261,2011,9.516,0.082,9.598,9.434
262,2012,9.507333333,0.083416667,9.59075,9.423916667
263,2013,9.6065,0.097666667,9.704166667,9.508833333
264,2014,9.570666667,0.090166667,9.660833333,9.4805
265,2015,9.831,0.092166667,9.923166667,9.738833333
